description,doc1_quantity,doc1_cost,unit,doc2_quantity,doc2_cost,quantity_difference,cost_difference,match_confidence,category,standardized_unit,is_temporary,is_labor,duration_type,percentage_cost_difference,significant_difference,price_category
"Baseboard - 2 1/4""",31.15,164.49,LF,587.0,3758.84,-555.85,-3594.3500000000004,94,FINISH CARPENTRY,linear_feet,False,False,,-2185.15,True,Medium-Low
Seal (1 coat) & paint (1 coat) baseboard*,31.15,83.42,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Low
"Custom cabinets - wall units - 36"" tall",6.5,2038.92,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,High
Add for prefinished crown molding per LF,6.5,104.71,LF,15.0,245.35,-8.5,-140.64,100,PAINTING,linear_feet,False,False,,-134.31,True,Medium-Low
Custom cabinets - base units,6.5,2904.76,LF,,,,,0,SPECIALTY ITEMS,linear_feet,False,False,,,False,High
Countertop - wood - butcher block (hardrock maple),13.0,1403.28,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,High
Light fixture,2.0,229.12,EA,1.0,116.17,1.0,112.95,100,ELECTRICAL,each,False,False,,49.3,True,Medium-High
Thermostat,1.0,164.42,EA,,,,,0,HVAC,each,False,False,,,False,Medium-Low
Demolish/remove - bedroom/room (up to 200 sf),93.74,881.9,SF,,,,,0,FURNITURE,square_feet,False,False,,,False,High
HEPA Vacuuming - Detailed - (PER SF),93.74,152.99,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Medium-Low
Seal attic framing (shellac) - 6 to 8/12,93.74,270.99,SF,2000.0,5848.32,-1906.26,-5577.33,100,WINDOWS,square_feet,False,False,,-2058.13,True,Medium-High
HEPA Vacuuming exposed framing - Walls - (PER SF),269.4,420.26,SF,3500.0,5586.0,-3230.6,-5165.74,100,PAINTING,square_feet,False,False,,-1229.18,True,Medium-High
Seal stud wall for odor control (shellac),269.4,494.9,SF,3500.0,6497.62,-3230.6,-6002.72,100,PAINTING,square_feet,False,False,,-1212.92,True,Medium-High
Clean floor or roof joist system,93.74,174.54,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Medium-Low
Seal floor or ceiling joist system (shellac),93.74,231.25,SF,841.0,2102.06,-747.26,-1870.81,100,FLOOR COVERING,square_feet,False,False,,-809.0,True,Medium-High
Deodorize building - Ozone & hydroxyl treatment,843.7,60.74,CF,30.33,1.82,813.37,58.92,87,CLEANING,cubic_feet,False,False,,97.0,True,Low
"5/8"" drywall - hung, taped, heavy texture, ready for paint",93.74,528.2,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Seal/prime (1 coat) then paint (1 coat) the ceiling*,93.74,158.55,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-Low
"1/2"" drywall - hung, taped, heavy texture, ready for paint",269.4,1464.41,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the walls*,269.4,455.67,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Carpet pad,93.74,83.4,SF,1567.0,1409.78,-1473.26,-1326.3799999999999,100,FLOOR COVERING,square_feet,False,False,,-1590.38,True,Low
Carpet,107.81,633.58,SF,1802.05,10727.48,-1694.24,-10093.9,100,FLOOR COVERING,square_feet,False,False,,-1593.15,True,High
Interior door - Colonist - pre-hung unit,1.0,450.7,EA,,,,,0,DOORS,each,False,False,,,False,Medium-High
Seal & paint door slab only (per side),2.0,136.23,EA,,,,,0,PAINTING,each,False,False,per side,,False,Medium-Low
Seal & paint door opening (per side)*,2.0,112.02,EA,17.0,966.15,-15.0,-854.13,87,OFFICE SUPPLIES,each,False,False,per side,-762.48,True,Medium-Low
Door knob - interior,1.0,63.67,EA,,,,,0,DOORS,each,False,False,,,False,Low
"Aluminum window, horiz. slider 24-32 sf (2 pane)",1.0,623.14,EA,2.0,1404.83,-1.0,-781.6899999999999,96,SIDING,each,False,False,,-125.44,True,High
Add on for grid (double or triple glazed windows),24.0,129.86,SF,328.0,1801.36,-304.0,-1671.5,100,WINDOWS,square_feet,False,False,,-1287.16,True,Medium-Low
Window stool & apron,6.0,82.89,LF,103.5,1455.35,-97.5,-1372.4599999999998,100,TOOLS,linear_feet,False,False,,-1655.76,True,Low
Seal & paint window stool and apron,6.0,42.74,LF,103.5,745.68,-97.5,-702.9399999999999,100,PAINTING,linear_feet,False,False,,-1644.69,True,Low
"Baseboard - 2 1/4""",30.7,162.09,LF,587.0,3758.84,-556.3,-3596.75,94,FINISH CARPENTRY,linear_feet,False,False,,-2218.98,True,Medium-Low
Seal (1 coat) & paint (1 coat) baseboard*,30.7,82.21,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Low
Ceiling fan & light,1.0,556.01,EA,1.0,563.76,0.0,-7.75,100,PAINTING,each,False,False,,-1.39,False,Medium-High
"Window blind - PVC - 2"" - 20.1 to 32 SF",1.0,228.15,EA,1.0,231.54,0.0,-3.3899999999999864,100,WINDOWS,each,False,False,,-1.49,False,Medium-High
Demolish/remove - bedroom/room (up to 200 sf),15.14,142.44,SF,,,,,0,FURNITURE,square_feet,False,False,,,False,Medium-Low
HEPA Vacuuming - Detailed - (PER SF),15.14,24.71,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Low
Seal attic framing (shellac) - 6 to 8/12,15.14,43.77,SF,2000.0,5848.32,-1984.86,-5804.549999999999,100,WINDOWS,square_feet,False,False,,-13261.48,True,Low
HEPA Vacuuming exposed framing - Walls - (PER SF),138.29,215.74,SF,3500.0,5586.0,-3361.71,-5370.26,100,PAINTING,square_feet,False,False,,-2489.23,True,Medium-Low
Seal stud wall for odor control (shellac),138.29,254.04,SF,3500.0,6497.62,-3361.71,-6243.58,100,PAINTING,square_feet,False,False,,-2457.72,True,Medium-High
Clean floor or roof joist system,15.14,28.2,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Low
Seal floor or ceiling joist system (shellac),15.14,37.35,SF,841.0,2102.06,-825.86,-2064.71,100,FLOOR COVERING,square_feet,False,False,,-5528.01,True,Low
Deodorize building - Ozone & hydroxyl treatment,136.28,9.82,CF,30.33,1.82,105.95,8.0,87,CLEANING,cubic_feet,False,False,,81.47,True,Low
"5/8"" drywall - hung, taped, heavy texture, ready for paint",15.14,85.32,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
Seal/prime (1 coat) then paint (1 coat) the ceiling*,15.14,25.59,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
"1/2"" drywall - hung, taped, heavy texture, ready for paint",138.29,751.73,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the walls*,138.29,233.9,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Carpet pad,15.14,13.47,SF,1567.0,1409.78,-1551.86,-1396.31,100,FLOOR COVERING,square_feet,False,False,,-10366.07,True,Low
Carpet,17.41,102.31,SF,1802.05,10727.48,-1784.6399999999999,-10625.17,100,FLOOR COVERING,square_feet,False,False,,-10385.27,True,Medium-Low
Bypass (sliding) door set - Colonist,1.0,399.84,EA,2.0,811.56,-1.0,-411.71999999999997,100,DOORS,each,False,False,,-102.97,True,Medium-High
"Door opening (jamb & casing) - 60"" or wider - paint grade",1.0,363.98,EA,,,,,0,OFFICE SUPPLIES,each,False,False,,,False,Medium-High
Seal 1coat & paint 1coat bypass dr set-slab only(per side)*,2.0,160.69,EA,,,,,0,PAINTING,each,False,False,per side,,False,Medium-Low
Seal & paint door opening - Large (per side)*,2.0,139.83,EA,,,,,0,OFFICE SUPPLIES,each,False,False,per side,,False,Medium-Low
Closet Organizer - Melamine,7.0,1022.88,LF,,,,,0,CLOSET ORGANIZATION,linear_feet,False,False,,,False,High
"Baseboard - 2 1/4""",14.07,74.29,LF,587.0,3758.84,-572.93,-3684.55,94,FINISH CARPENTRY,linear_feet,False,False,,-4959.69,True,Low
Seal (1 coat) & paint (1 coat) baseboard*,14.07,37.67,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Low
Demolish/remove - bedroom/room (up to 200 sf),196.62,1849.8,SF,,,,,0,FURNITURE,square_feet,False,False,,,False,High
HEPA Vacuuming - Detailed - (PER SF),212.83,347.35,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Medium-High
Seal attic framing (shellac) - 6 to 8/12,212.83,615.25,SF,2000.0,5848.32,-1787.17,-5233.07,100,WINDOWS,square_feet,False,False,,-850.56,True,Medium-High
HEPA Vacuuming exposed framing - Walls - (PER SF),554.72,865.36,SF,3500.0,5586.0,-2945.2799999999997,-4720.64,100,PAINTING,square_feet,False,False,,-545.51,True,High
Seal stud wall for odor control (shellac),554.72,1019.05,SF,3500.0,6497.62,-2945.2799999999997,-5478.57,100,PAINTING,square_feet,False,False,,-537.62,True,High
Clean floor or roof joist system,196.62,366.1,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Medium-High
Seal floor or ceiling joist system (shellac),196.62,485.04,SF,841.0,2102.06,-644.38,-1617.02,100,FLOOR COVERING,square_feet,False,False,,-333.38,True,Medium-High
Deodorize building - Ozone & hydroxyl treatment,2309.77,166.31,CF,30.33,1.82,2279.44,164.49,87,CLEANING,cubic_feet,False,False,,98.91,True,Medium-Low
"5/8"" drywall - hung, taped, heavy texture, ready for paint",212.83,1199.23,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the ceiling*,212.83,359.97,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
"1/2"" drywall - hung, taped, heavy texture, ready for paint",554.72,3015.38,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the walls*,554.72,938.26,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Carpet pad,196.62,174.93,SF,1567.0,1409.78,-1370.38,-1234.85,100,FLOOR COVERING,square_feet,False,False,,-705.91,True,Medium-Low
Carpet,226.11,1328.8,SF,1802.05,10727.48,-1575.94,-9398.68,100,FLOOR COVERING,square_feet,False,False,,-707.31,True,High
Interior door - Colonist - pre-hung unit,1.0,450.7,EA,,,,,0,DOORS,each,False,False,,,False,Medium-High
Seal & paint door slab only (per side),2.0,136.23,EA,,,,,0,PAINTING,each,False,False,per side,,False,Medium-Low
Seal & paint door opening (per side)*,2.0,112.02,EA,17.0,966.15,-15.0,-854.13,87,OFFICE SUPPLIES,each,False,False,per side,-762.48,True,Medium-Low
Door knob - interior,1.0,63.67,EA,,,,,0,DOORS,each,False,False,,,False,Low
"Aluminum window, horiz. slider 24-32 sf (2 pane)",1.0,623.14,EA,2.0,1404.83,-1.0,-781.6899999999999,96,SIDING,each,False,False,,-125.44,True,High
Add on for grid (double or triple glazed windows),24.0,129.86,SF,328.0,1801.36,-304.0,-1671.5,100,WINDOWS,square_feet,False,False,,-1287.16,True,Medium-Low
Window stool & apron,6.0,82.89,LF,103.5,1455.35,-97.5,-1372.4599999999998,100,TOOLS,linear_feet,False,False,,-1655.76,True,Low
Seal & paint window stool and apron,6.0,42.74,LF,103.5,745.68,-97.5,-702.9399999999999,100,PAINTING,linear_feet,False,False,,-1644.69,True,Low
"Baseboard - 2 1/4""",44.59,235.43,LF,587.0,3758.84,-542.41,-3523.4100000000003,94,FINISH CARPENTRY,linear_feet,False,False,,-1496.58,True,Medium-High
Seal (1 coat) & paint (1 coat) baseboard*,44.59,119.4,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Medium-Low
Ceiling fan & light,1.0,556.01,EA,1.0,563.76,0.0,-7.75,100,PAINTING,each,False,False,,-1.39,False,Medium-High
"Add on - Ceiling fan down rod - 19""-36""",1.0,71.43,EA,,,,,0,PAINTING,each,False,False,,,False,Low
"Window blind - PVC - 2"" - 20.1 to 32 SF",1.0,228.15,EA,1.0,231.54,0.0,-3.3899999999999864,100,WINDOWS,each,False,False,,-1.49,False,Medium-High
Demolish/remove - bedroom/room (up to 200 sf),38.94,366.35,SF,,,,,0,FURNITURE,square_feet,False,False,,,False,Medium-High
HEPA Vacuuming - Detailed - (PER SF),38.94,63.56,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Low
Seal attic framing (shellac) - 6 to 8/12,38.94,112.57,SF,2000.0,5848.32,-1961.06,-5735.75,100,WINDOWS,square_feet,False,False,,-5095.27,True,Medium-Low
HEPA Vacuuming exposed framing - Walls - (PER SF),214.41,334.47,SF,3500.0,5586.0,-3285.59,-5251.53,100,PAINTING,square_feet,False,False,,-1570.1,True,Medium-High
Seal stud wall for odor control (shellac),214.41,393.88,SF,3500.0,6497.62,-3285.59,-6103.74,100,PAINTING,square_feet,False,False,,-1549.64,True,Medium-High
Clean floor or roof joist system,38.94,72.52,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Low
Seal floor or ceiling joist system (shellac),38.94,96.07,SF,841.0,2102.06,-802.06,-2005.99,100,FLOOR COVERING,square_feet,False,False,,-2088.05,True,Medium-Low
Deodorize building - Ozone & hydroxyl treatment,350.47,25.23,CF,30.33,1.82,320.14000000000004,23.41,87,CLEANING,cubic_feet,False,False,,92.79,True,Low
"5/8"" drywall - hung, taped, heavy texture, ready for paint",38.94,219.41,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-Low
Seal/prime (1 coat) then paint (1 coat) the ceiling*,38.94,65.86,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
"1/2"" drywall - hung, taped, heavy texture, ready for paint",214.41,1165.51,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the walls*,214.41,362.65,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Carpet pad,38.94,34.66,SF,1567.0,1409.78,-1528.06,-1375.12,100,FLOOR COVERING,square_feet,False,False,,-3967.46,True,Low
Carpet,44.78,263.15,SF,1802.05,10727.48,-1757.27,-10464.33,100,FLOOR COVERING,square_feet,False,False,,-3976.56,True,Medium-High
Bypass mirrored door set,1.0,443.24,EA,1.0,449.81,0.0,-6.569999999999993,100,DOORS,each,False,False,,-1.48,False,Medium-High
"Door opening (jamb & casing) - 60"" or wider - paint grade",1.0,363.98,EA,,,,,0,OFFICE SUPPLIES,each,False,False,,,False,Medium-High
Seal & paint door opening - Large (per side)*,2.0,139.83,EA,,,,,0,OFFICE SUPPLIES,each,False,False,per side,,False,Medium-Low
Closet Organizer - Melamine,13.0,1899.61,LF,,,,,0,CLOSET ORGANIZATION,linear_feet,False,False,,,False,High
"Baseboard - 2 1/4""",22.27,117.59,LF,587.0,3758.84,-564.73,-3641.25,94,FINISH CARPENTRY,linear_feet,False,False,,-3096.56,True,Medium-Low
Seal (1 coat) & paint (1 coat) baseboard*,22.27,59.62,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Low
Light fixture,1.0,114.56,EA,1.0,116.17,0.0,-1.6099999999999994,100,ELECTRICAL,each,False,False,,-1.41,False,Medium-Low
Demolish/remove - bathroom (over 50 sf),57.59,1326.87,SF,,,,,0,CABINETRY,square_feet,False,False,,,False,High
HEPA Vacuuming - Detailed - (PER SF),62.49,101.99,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Medium-Low
Seal attic framing (shellac) - 6 to 8/12,62.49,180.65,SF,2000.0,5848.32,-1937.51,-5667.67,100,WINDOWS,square_feet,False,False,,-3137.38,True,Medium-Low
HEPA Vacuuming exposed framing - Walls - (PER SF),333.76,520.67,SF,3500.0,5586.0,-3166.24,-5065.33,100,PAINTING,square_feet,False,False,,-972.85,True,Medium-High
Seal stud wall for odor control (shellac),333.76,613.13,SF,3500.0,6497.62,-3166.24,-5884.49,100,PAINTING,square_feet,False,False,,-959.75,True,Medium-High
Clean floor or roof joist system,57.59,107.23,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Medium-Low
Seal floor or ceiling joist system (shellac),57.59,142.06,SF,841.0,2102.06,-783.41,-1960.0,100,FLOOR COVERING,square_feet,False,False,,-1379.7,True,Medium-Low
Deodorize building - Ozone & hydroxyl treatment,698.82,50.31,CF,30.33,1.82,668.49,48.49,87,CLEANING,cubic_feet,False,False,,96.38,True,Low
"5/8"" drywall - hung, taped, heavy texture, ready for paint",62.49,352.11,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Seal/prime (1 coat) then paint (1 coat) the ceiling*,62.49,105.7,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-Low
"1/2"" drywall - hung, taped, heavy texture, ready for paint",333.76,1814.28,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Add for bullnose (rounded) corners - per LF,23.5,161.97,LF,,,,,0,BULLNOSE,linear_feet,False,False,,,False,Medium-Low
Seal/prime (1 coat) then paint (1 coat) the walls*,333.76,564.52,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
"1/2"" Cement board",30.59,304.33,SF,,,,,0,CONCRETE & ASPHALT,square_feet,False,False,,,False,Medium-High
Stone floor covering,30.59,767.18,SF,101.0,2592.36,-70.41,-1825.1800000000003,100,FLOOR COVERING,square_feet,False,False,,-237.91,True,High
Tile/stone sealer,30.59,63.38,SF,41.58,86.92,-10.989999999999998,-23.54,100,FLOOR COVERING,square_feet,False,False,,-37.14,True,Low
Interior door - Colonist - pre-hung unit,1.0,450.7,EA,,,,,0,DOORS,each,False,False,,,False,Medium-High
Seal & paint door slab only (per side),2.0,136.23,EA,,,,,0,PAINTING,each,False,False,per side,,False,Medium-Low
Seal & paint door opening (per side)*,2.0,112.02,EA,17.0,966.15,-15.0,-854.13,87,OFFICE SUPPLIES,each,False,False,per side,-762.48,True,Medium-Low
Door knob - interior,1.0,63.67,EA,,,,,0,DOORS,each,False,False,,,False,Low
"Aluminum window, picture/fixed 3-11 sf (2 pane)",2.0,509.3,EA,1.0,303.13,1.0,206.17000000000002,96,SIDING,each,False,False,,40.48,True,Medium-High
Add on for grid (double or triple glazed windows),15.5,83.86,SF,328.0,1801.36,-312.5,-1717.5,100,WINDOWS,square_feet,False,False,,-2048.06,True,Low
"Baseboard - 2 1/4""",7.62,40.24,LF,587.0,3758.84,-579.38,-3718.6000000000004,94,FINISH CARPENTRY,linear_feet,False,False,,-9241.05,True,Low
Seal (1 coat) & paint (1 coat) baseboard*,7.62,20.4,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Low
Medicine cabinet,1.0,270.25,EA,1.0,274.28,0.0,-4.029999999999973,100,CABINETRY,each,False,False,,-1.49,False,Medium-High
Vanity,6.0,2134.41,LF,4.25,1534.41,1.75,599.9999999999998,100,CABINETRY,linear_feet,False,False,,28.11,True,High
Vanity top - two sinks - cultured marble - High grade,6.0,1525.82,LF,,,,,0,OFFICE SUPPLIES,linear_feet,False,False,,,False,High
"Mirror - 1/4"" plate glass",24.0,582.87,SF,6.0,147.82,18.0,435.05,100,WINDOWS,square_feet,False,False,,74.64,True,Medium-High
Add metal J channel to a mirror,6.0,32.86,LF,10.0,55.53,-4.0,-22.67,100,STEEL COMPONENTS,linear_feet,False,False,,-68.99,True,Low
Tile tub surround - up to 60 SF,1.0,2488.92,EA,1.0,2515.2,0.0,-26.279999999999745,100,FLOOR COVERING,each,False,False,,-1.06,False,High
"1/2"" Cement board",55.0,545.87,SF,,,,,0,CONCRETE & ASPHALT,square_feet,False,False,,,False,Medium-High
Tile/stone sealer,55.0,113.97,SF,41.58,86.92,13.420000000000002,27.049999999999997,100,FLOOR COVERING,square_feet,False,False,,23.73,True,Medium-Low
Bathtub - High grade,1.0,1727.81,EA,,,,,0,PLUMBING,each,False,False,,,False,High
Bathtub enclosure - sliding glass doors - High grade,1.0,825.56,EA,1.0,837.79,0.0,-12.230000000000018,100,PLUMBING,each,False,False,,-1.48,False,High
Sink faucet - Bathroom,2.0,678.89,EA,1.0,343.91,1.0,334.97999999999996,100,OFFICE SUPPLIES,each,False,False,,49.34,True,High
Tub/shower faucet,1.0,507.57,EA,1.0,379.89,0.0,127.68,87,PLUMBING,each,False,False,,25.16,True,Medium-High
Angle stop valve,4.0,253.08,EA,2.0,128.02,2.0,125.06,100,PLUMBING,each,False,False,,49.42,True,Medium-High
P-trap assembly - ABS (plastic),2.0,236.67,EA,1.0,119.66,1.0,117.00999999999999,100,PLUMBING FIXTURES,each,False,False,,49.44,True,Medium-High
Light fixture,1.0,114.56,EA,1.0,116.17,0.0,-1.6099999999999994,100,ELECTRICAL,each,False,False,,-1.41,False,Medium-Low
Light bar - 6 lights,1.0,177.64,EA,1.0,180.15,0.0,-2.5100000000000193,100,ELECTRICAL,each,False,False,,-1.41,False,Medium-Low
Bathroom ventilation fan,1.0,161.35,EA,1.0,163.64,0.0,-2.289999999999992,100,ROOFING,each,False,False,,-1.42,False,Medium-Low
Towel bar,2.0,87.04,EA,1.0,44.16,1.0,42.88000000000001,100,BATHROOM ACCESSORIES,each,False,False,,49.26,True,Medium-Low
Demolish/remove - bathroom (up to 50 sf),13.73,365.27,SF,,,,,0,CABINETRY,square_feet,False,False,,,False,Medium-High
HEPA Vacuuming - Detailed - (PER SF),13.73,22.41,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Low
Seal attic framing (shellac) - 6 to 8/12,13.73,39.68,SF,2000.0,5848.32,-1986.27,-5808.639999999999,100,WINDOWS,square_feet,False,False,,-14638.71,True,Low
HEPA Vacuuming exposed framing - Walls - (PER SF),114.99,179.39,SF,3500.0,5586.0,-3385.01,-5406.61,100,PAINTING,square_feet,False,False,,-3013.89,True,Medium-Low
Seal stud wall for odor control (shellac),114.99,211.25,SF,3500.0,6497.62,-3385.01,-6286.37,100,PAINTING,square_feet,False,False,,-2975.8,True,Medium-Low
